Filter ID,Field_blank_corr_mass_mg
KHU0001,0.0212
KHU0002,0.2345
KHU0003,0.0593
KHU0004,0.0348
KHU0005,0.8453
KHU0006,0.0484
KHU0007,0.2154
KHU0008,0.3422
KHU0009,0.0461
KHU0010,0.2629
KHU0011,0.1503
KHU0012,0.1389
KHU0013,0.0358
KHU0014,0.0867
KHU0015,0.0206
KHU0016,0.0423
KHU0017,0.163
KHU0018,0.0719
KHU0019,0.0258
KHU0020,0.014
KHU0021,0.0096
KHU0022,0.0124
KHU0023,0.0156
KHU0024,0.0306
KHU0025,0.0127
KHU0026,0.034
KHU0027,0
KHU0028,0.0466
KHU0029,0.0074
KHU0030,0.0059
KHU0031,0.0211
KHU0032,0.028
KHU0033,0.0226
KHU0034,0.016
KHU0035,0.0826
KHU0036,0.0571
KHU0037,0.0397
KHU0038,0.0178
KHU0039,0.0234
KHU0040,0.0292
KHU0041,0.0173
KHU0042,0.0241
KHU0043,0.0179
KHU0044,0.0236
KHU0046,0.0096
KHU0049,0.0155
KHU0051,0.0486
KHU0052,0.045
KHU0053,0.0458
KHU0054,0.0377
KHU0055,0.0424
KHU0056,0.0315
KHU0057,0.037
KHU0058,0.1479
KHU0059,0.0679
KHU0060,0.013
KHU0061,0.0395
KHU0062,0.1164
KHU0063,0.0208
KHU0064,0.0254
KHU0065,0.0254
KHU0066,0.062
KHU0067,0.1048
KHU0068,0.0221
KHU0069,0.0459
KHU0070,0.0265
KHU0071,0.0077
KHU0072,0
KHU0073,0
KHU0074,0.0221
KHU0075,0.0019
KHU0076,0.0212
KHU0077,0.4161
KHU0078,0.1827
KHU0079,0.0962
KHU0080,0.0998
KHU0081,0.0856
KHU0082,0.2114
KHU0083,0.1955
KHU0084,0.1885
KHU0085,0.0243
KHU0086,0.0305
KHU0087,0.0682
KHU0088,0.0257
KHU0089,0.0822
KHU0090,0.0439
KHU0091,0.0743
KHU0092,0.0393
KHU0093,0.0368
KHU0094,0.1269
KHU0095,0.0183
KHU0096,0.0318
KHU0097,0.088
KHU0098,0.0341
KHU0099,0.0193
KHU0100,0.0213
KHU0101,0.015
KHU0102,0.0338
KHU0103,0.0379
KHU0104,0.0139
KHU0105,0
KHU0106,0.113
KHU0107,0.0122
KHU0108,0.0483
KHU0109,0.1421
KHU0110,0.032
KHU0116,0.0768
KHU0117,0.0343
KHU0118,0.0171
KHU0119,0.0111
KHU0120,0.0236
KHU0121,0.0272
KHU0122,0.0211
KHU0123,0.0206
KHU0124,0.0664
KHU0125,0.0262
KHU0126,0.0353
KHU0127,0.1625
KHU0128,0.0166
KHU0129,0.1764
KHU0130,0.0369
KHU0131,0.0177
KHU0132,0.0158
KHU0133,0.084
KHU0134,0.0305
KHU0135,0.0118
KHU0136,0.0353
KHU0137,0.0809
KHU0138,0.0119
KHU0139,0.09
KHU0140,0.1264
KHU0141,0.0098
KHU0142,0.0133
KHU0143,0.0102
KHU0144,0.0178
KHU0145,0.0218
KHU0146,0.0327
KHU0147,0.017
KHU0148,0.0201
KHU0149,0.0309
KHU0150,0.031
KHU0151,0.0394
KHU0152,0.0685
KHU0153,0.0445
KHU0154,0.0106
KHU0155,0.0126
KHU0156,0.0115
KHU0157,0.0311
KHU0158,0.0276
KHU0159,0.0393
KHU0160,0.0503
KHU0161,0.0368
KHU0162,0.0524
KHU0163,0.0409
KHU0164,0.0407
KHU0165,0.0192
KHU0166,0.0395
KHU0167,0.0339
KHU0168,0.0376
KHU0169,0.0297
KHU0170,0.1487
KHU0171,0.0111
KHU0172,0.021
KHU0173,0.0237
KHU0174,0.0645
KHU0175,0.0109
KHU0176,0.0398
KHU0177,0.1312
KHU0178,0.1822
KHU0179,0.1314
KHU0180,0.0881
KHU0181,0.0537
KHU0182,0.1021
KHU0183,0.0549
KHU0184,0.1743
KHU0185,0.0126
KHU0186,0.1666
KHU0187,0.0654
KHU0188,0.0098
KHU0189,0.0125
KHU0190,0.0089
KHU0191,0.0109
KHU0192,0.0533
KHU0193,0.0282
KHU0194,0.0259
KHU0195,0.0681
KHU0197,0.1969
KHU0198,0.0751
KHU0199,0.0181
KHU0200,0.3274
KHU0201,0.012
KHU0202,0.3872
KHU0203,0.0241
KHU0204,0.1039
KHU0205,0.0668
KHU0206,0.4389
KHU0207,0.0781
KHU0208,0.0254
KHU0209,0.0463
KHU0210,0.1316
KHU0211,0.1103
KHU0212,0.1585
KHU0213,0.0853
KHU0214,0.118
KHU0215,0.1204
KHU0216,0.0462
KHU0217,0.2388
KHU0218,0.0262
KHU0219,0.0243
KHU0220,0.1663
KHU0221,0.4592
KHU0222,0.0534
KHU0223,0.0746
KHU0224,0.0185
KHU0225,0.0669
KHU0226,0.0323
KHU0227,0.1114
KHU0228,0.0389
KHU0229,0.0027
KHU0230,0.2371
KHU0231,0.2744
KHU0232,0.1249
KHU0233,0.0579
KHU0234,0.041
KHU0235,0.0197
KHU0236,0.5144
KHU0237,0.2615
KHU0238,0.1087
KHU0239,0.0593
KHU0240,0.0883
KHU0241,0.0766
KHU0242,0.0353
KHU0245,0.1189
KHU0246,0.1662
KHU0247,0.1612
KHU0248,0.1107
KHU0249,0.0671
KHU0250,0.1287
KHU0251,0.1202
KHU0252,0.0552
KHU0253,0.0764
KHU0254,0.1986
KHU0255,0.0687
KHU0261,0.1489
KHU0262,0.3229
KHU0263,0.0948
KHU0264,0.272
KHU0265,0.1452
KHU0267,0.1184
KHU0268,0.0625
KHU0269,0.2522
KHU0270,0.2113
KHU0271,0.173
KHU0272,0.0977
KHU0273,0.0541
KHU0274,0.1601
KHU0275,0.4733
KHU0276,0.4582
KHU0277,0.1819
KHU0278,0.497
KHU0279,0.3118
KHU0280,0.2134
KHU0281,0.1814
KHU0282,0.1066
KHU0283,0.2219
KHU0284,0.0746
KHU0285,0.3004
KHU0286,0.2035
KHU0287,0.3667
KHU0288,0.2371
KHU0289,0.1545
KHU0290,0.0809
KHU0291,0.0338
KHU0292,0.1852
KHU0293,0.1647
KHU0294,0.0413
KHU0295,0.1547
KHU0296,0.3812
KHU0297,0.1176
KHU0298,0.4931
KHU0299,0.2051
KHU0300,0.2227
KHU0301,0.1809
KHU0302,0.5318
KHU0303,0.2246
KHU0304,0.089
KHU0305,0.1913
KHU0306,0.1725
KHU0307,0.421
KHU0308,0.9773
KHU0309,0.1247
KHU0310,0.2619
KHU0311,0.8429
KHU0312,0.5973
KHU0313,0.1089
KHU0314,0.5786
KHU0315,0.1482
KHU0316,0.877
KHU0317,0.3487
KHU0318,0.3277
KHU0319,0.222
KHU0320,0.2915
KHU0321,0.2373
KHU0322,0.1499
KHU0323,0.1668
KHU0324,0.2154
KHU0325,0.0057
KHU0326,0.2333
KHU0327,0.1726
KHU0328,0.1329
KHU0329,0.455
KHU0330,0.3028
KHU0331,0.18
KHU0332,0.6845
KHU0333,0.3278
KHU0334,0.2374
KHU0335,0.1418
KHU0336,0.1931
KHU0337,0.5737
KHU0338,0.2021
KHU0339,0.5208
KHU0340,0.3078
KHU0341,0.3622
KHU0342,0.2498
KHU0343,0.1876
KHU0344,0.2881
