"","subject_id","filter_id","compliance_hours","compliance_hours_daytime","compliance_hours_nighttime","compliance_hours_session1","compliance_hours_session2","compliance_hours_daytime_24hr","compliance_hours_nighttime_24hr","compliance_hours_daytime_48hr","compliance_hours_nighttime_48hr","compliance_mean","compliance_daytimemean"
"1","BM1133M","KHU0001",0.07,0.07,0,0.07,0,0.07,0,0,0,0.03,0.03
"2","BM1184M","KHU0007",16.85,16.85,0,5.87,8.29,5.8,0.07,5.57,2.72,7.08,5.68
"3","BM0417M","KHU0008",19.7,17.42,2.28,5.81,13.81,4.02,1.79,10.86,2.95,9.81,7.44
"4","BM1096M","KHU0016",17.9,16.1,1.8,11.43,4.92,10.68,0.75,2.58,2.34,8.18,6.63
"5","BM0458M","KHU0015",25.31,24.71,0.6,15.12,7.74,12.42,2.7,6.57,1.18,11.43,9.49
"6","BM1387M","KHU0019",0.55,0.55,0,0.55,0,0.55,0,0,0,0.28,0.28
"7","BM1386M","KHU0012",42.99,32.28,10.7,20.56,21.28,14.25,6.31,14.12,7.16,20.92,14.19
"8","BM1114M","KHU0014",27.92,23.99,3.92,14.45,11.18,11.9,2.55,7.7,3.48,12.82,9.8
"9","BM1242M","KHU0020",0.02,0.02,0,0.02,0,0,0.02,0,0,0.01,0
"10","BM0562M","KHU0013",17.83,17.4,0.43,8.58,8.71,8.17,0.42,8.54,0.17,8.65,8.35
"11","BM0540M","KHU0017",19.18,18.37,0.82,7.82,10.95,6.7,1.12,10.87,0.08,9.39,8.78
"12","BM0919M","KHU0022",0.17,0.17,0,0.17,0,0,0.17,0,0,0.09,0
"13","BM0519M","KHU0011",24.26,20.59,3.66,10.08,13.11,7.73,2.35,10.04,3.07,11.6,8.89
"14","BM1239M","KHU0018",19.58,17.48,2.09,12.61,6.06,9.32,3.28,3.34,2.72,9.33,6.33
"15","BM0579M","KHU0028",15.27,15.07,0.19,7.97,7.05,5.76,2.22,4.26,2.79,7.51,5.01
"16","BM0580M","KHU0036",26.52,25.06,1.46,14.62,11.12,10.88,3.75,9.81,1.31,12.87,10.34
"17","BM0578M","KHU0039",50,34,15.98,23.93,24,16,7.93,16,8,23.97,16
"18","BM0508M","KHU0024",9.07,7.93,1.14,6.26,2.18,5.03,1.23,1.11,1.07,4.22,3.07
"19","BM0268M","KHU0037",10.14,8.42,1.73,3.27,6.22,1.9,1.37,2.57,3.65,4.74,2.23
"20","BM0191M","KHU0032",49.1,33.1,15.98,23.93,24,16,7.93,16,8,23.97,16
"21","BM0234M","KHU0040",1.57,1.4,0.17,1.27,0.17,0.34,0.92,0,0.17,0.72,0.17
"22","BM0227M","KHU0031",8.17,7.44,0.72,4.56,2.82,2.63,1.93,0,2.82,3.69,1.32
"23","BM0438M","__DUMMY",32.12,24.12,8,23.92,8.2,15.93,8,8.2,0,16.06,12.06
"24","BM0724M","__DUMMY",51.34,35.34,16,23.92,24,15.93,8,16,8,23.96,15.96
"25","BM0090M","_DUMMY ",27.43,21.28,6.15,18.2,9.22,10.43,7.78,5.67,3.56,13.71,8.05
"26","BM0823M","__DUMMY",50.57,34.57,16,23.92,24,15.93,8,16,8,23.96,15.96
"27","BM0436M","__DUMMY",47.92,34.39,13.53,23.92,21.06,15.93,8,16,5.06,22.49,15.96
"28","BM0296M","__DUMMY",50.76,34.76,16,23.92,24,15.93,8,16,8,23.96,15.96
"29","BM0487M","__DUMMY",18.58,15.68,2.9,16.33,2.25,9.96,6.38,2.25,0,9.29,6.1
"30","BM0557M","__DUMMY",46.74,30.74,16,23.92,22.82,16,7.92,16,6.82,23.37,16
"31","BM0180M","__DUMMY",1.32,1.32,0,1.32,0,1.07,0.25,0,0,0.66,0.53
